LÍNEA 1,Afluencia,SD,LÍNEA 2,Afluencia,SD,LÍNEA 3,Afluencia
Auditorio,"1,673,616",SD,La Viga,"518,136",SD,Lázaro Cárdenas,"902,604"
Constituyentes,"376,626",SD,Santa Anita,"324,289",SD,Centro Médico,"925,205"
Tacubaya,"337,523",SD,Coyuya,"1,731,096",SD,Chilpancingo,"2,771,255"
San Pedro los Pinos,"659,390",SD,Iztacalco,"1,287,215",SD,Patriotismo,"1,136,627"
San Antonio,"668,051",SD,Apatlaco,"1,052,285",SD,Tacubaya,"3,271,391"
Mixcoac,"1,824,375",SD,Aculco,"706,298",SD,SD,SD
Barranca del Muerto,"2,066,760",SD,Escuadrón 201,"1,419,862",SD,SD,SD
SD,SD,SD,Atlalilco,"1,533,496",SD,SD,SD
SD,SD,SD,Iztapalapa,"771,773",SD,SD,SD
SD,SD,SD,Cerro de la Estrella,"802,505",SD,SD,SD
SD,SD,SD,U A M  I,"1,598,199",SD,SD,SD
SD,SD,SD,Constitución de 1917,"7,045,246",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA A,Afluencia,SD,LÍNEA B,Afluencia,SD,LINEA 12,SD
